Company Name,Website,Email,Search Time (seconds)
RFMW ASIA PTE LTD,https://www.rfmw.com/rfmw-asia/51,"sales@rfmw.euTel, Germany@rfmw.comTel, sales@rfmw.asia, privacy@rfmw.com, sales@rfmw.co.ukTel, israelar@rfmw.com, website.info@RFMW.com, sales@rfmw.com, sales@rfmw.asiaRFMW, GDPR@RFMW.com, recruitment@xponentialgroup.com, sales@rfmw.esTel, sales@rfmw.eu",340.57482647895813
TECHFIELD SUPPLY PTE LTD,https://www.techfield.com.sg/,No email found,0.0762181282043457
ALCOM ELECTRONICS PTE LTD,http://www.alcom.com.sg/,sales@myalcom.com,26.0035138130188
GENSEMI (S) PTE LTD,https://www.gensem.com/,enquiry@gensem.com,0.5187361240386963
YHI CORPORATION (SINGAPORE) PTE LTD,https://yhiautomotive.com.sg/,info@yhi.com.sg,4.991311550140381
DIMENSION DATA ASIA PACIFIC PTE LTD,https://www.linkedin.com/showcase/dimension-data-asia-pacific/,No email found,32.920761823654175
GETRONICS (S) PTE LTD,https://www.getronics-s.com.sg/,enquiry@getronics-s.com.sg,1.8059885501861572
VOLTRIUM SYSTEMS PTE LTD,https://www.voltrium.com.sg/en/,"thailandsales@voltrium.com.sg, 6278voltrium@voltrium.com.sg, voltrium@voltrium.com.sg, info@voltrium.com.my",42.122172117233276
WIDOS TECHNOLOGY (ASIA PACIFIC) PTE LTD,https://widos.asia/,info@widos.asia,9.6245698928833
PIAGET CHEMICALS & MANUFACTURING PTE LTD,https://www.piagetchem.com.sg/,info@piagetchem.com.sg,12.176641702651978
NARA INDUSTRY COMPANY (PTE) LTD,https://naraindustry1.wixsite.com/nara,"naraind1@singnet.com.sg, naraind1@singnet.com.sgCONTACT",0.7763016223907471
BRADY CORPORATION ASIA PTE LTD,https://www.bradyid.com.sg/,No email found,188.83377051353455
TOREX SEMICONDUCTOR (S) PTE LTD,https://www.torexsemi.com/,No email found,0.14839673042297363
HITACHI CHEMICAL ASIA-PACIFIC PTE LTD,https://www.hitachi.asia/,No email found,24.6656436920166
CIVICA PTE LTD,https://www.civica.com/en-sg/,"press@civica.co.uk, info@civica.com.sg",45.30787467956543
MSC POLYMER PTE LTD,http://j3.msc-polymer.de/en/branches/323-msc-singapore,No email found,43.70987248420715
ADC POWER CONCEPT PTE LTD,https://www.adc-pc.com/,"sginfo@adc-pc.com, myinfo@adc-pc.com",2.9613707065582275
